metal log(age) E_BV dm
0.00700 9.48250 0.29786 13.25611
0.00700 9.48250 0.29679 13.25917
0.00700 9.48250 0.29785 13.25631
0.00700 9.48250 0.30588 13.23568
0.00700 9.48250 0.29454 13.26471
0.00700 9.48250 0.29841 13.25524
0.00700 9.48250 0.29076 13.27461
0.00700 9.48250 0.29695 13.25885
0.00700 9.48250 0.29631 13.26025
0.00700 9.48250 0.30029 13.25003
0.00700 9.48250 0.29928 13.25257
0.00700 9.48250 0.29847 13.25561
0.00700 9.48250 0.30179 13.24662
0.00700 9.48250 0.29419 13.26559
0.00700 9.48250 0.29945 13.25225
0.00700 9.48250 0.29945 13.25225
0.00700 9.48250 0.30188 13.24601
0.00700 9.48250 0.29984 13.25165
0.00700 9.48250 0.29924 13.25281
0.00700 9.48250 0.30860 13.04956
0.00700 9.48250 0.30215 13.24578
0.00700 9.48250 0.29737 13.25747
0.00300 9.45250 0.36048 13.00221
0.00300 9.45250 0.36048 13.00221
0.00300 9.45250 0.36051 13.00214
0.00300 9.45250 0.36051 13.00214
0.00300 9.45250 0.36051 13.00214
0.00300 9.45250 0.36147 13.00037
0.00300 9.45250 0.35972 13.00480
0.00300 9.45250 0.35972 13.00480
0.00300 9.45250 0.35972 13.00480
0.00300 9.45250 0.35972 13.00480
0.00300 9.45250 0.35972 13.00480
0.00300 9.45250 0.35977 13.00462
0.00300 9.45250 0.35977 13.00462
0.00300 9.45250 0.36057 13.00213
0.00700 9.48250 0.29961 13.25222
0.00700 9.48250 0.29993 13.25134
0.00700 9.48250 0.30161 13.24749
0.00700 9.48250 0.30079 13.24890
0.00700 9.48250 0.30277 13.24354
0.00700 9.48250 0.29576 13.26221
0.00700 9.48250 0.29728 13.25761
0.00300 9.45250 0.36060 13.00207
0.00300 9.45250 0.36060 13.00207
0.00700 9.48250 0.30298 13.24398
0.00700 9.48250 0.30246 13.24433
0.00700 9.48250 0.30309 13.24370
0.00700 9.48250 0.30376 13.24107
0.00700 9.48250 0.29808 13.25651
0.00700 9.48250 0.30067 13.24899
0.00700 9.48250 0.30538 13.23690
0.00700 9.48250 0.30347 13.24214
0.00700 9.48250 0.29975 13.25148
0.00700 9.48250 0.29905 13.25344
0.00700 9.48250 0.30170 13.24640
0.00700 9.48250 0.29760 13.25785
0.00700 9.48250 0.30020 13.25098
0.00700 9.48250 0.30226 13.24500
0.00300 9.45250 0.36171 13.00012
0.00300 9.45250 0.36176 13.00011
0.00300 9.45250 0.36176 13.00011
0.00300 9.45250 0.36176 13.00011
0.00300 9.45250 0.36176 13.00011
0.00300 9.45250 0.36176 13.00011
0.00300 9.45250 0.36149 13.00023
0.00700 9.48250 0.29741 13.25725
0.00700 9.48250 0.30131 13.24812
0.00700 9.48250 0.29430 13.26532
0.00700 9.48250 0.29809 13.25561
0.00700 9.48250 0.30124 13.24801
0.00700 9.48250 0.29690 13.25873
0.00700 9.48250 0.29872 13.25490
0.00700 9.48250 0.30091 13.24860
0.00700 9.48250 0.30209 13.24571
0.00700 9.48250 0.30067 13.24944
0.00700 9.48250 0.29923 13.25351
0.00700 9.48250 0.29923 13.25351
0.00700 9.48250 0.30934 13.04854
0.00700 9.48250 0.29595 13.26139
0.00700 9.48250 0.29924 13.25336
0.00700 9.48250 0.29922 13.25281
0.00300 9.45250 0.35987 13.00314
0.00300 9.45250 0.35987 13.00314
0.00300 9.45250 0.35987 13.00314
